[20973, 20974, 20974, 20974, 20971, 20968, 20969, 20970, 20969, 20967, 20966, 20967, 20969, 20970, 20969, 20968, 20971, 20974, 20974, 20974, 20973, 20975, 20977, 20977, 20975, '176 -> 184']
[20970, 20970, 20968, 20969, 20973, 20974, 20975, 20972, 20973, 20977, 20976, 20977, 20973, 20972, 20975, 20974, 20973, 20969, 20968, 20970, 20970, 20969, 20966, 20966, 20969, '184 -> 192']
[20972, 20971, 20969, 20971, 20972, 20973, 20974, 20971, 20972, 20974, 20974, 20974, 20972, 20971, 20974, 20973, 20972, 20971, 20969, 20971, 20972, 20969, 20969, 20969, 20969, '192 -> 200']
[20974, 20972, 20971, 20977, 20969, 20968, 20974, 20968, 20972, 20972, 20964, 20972, 20972, 20968, 20974, 20968, 20969, 20977, 20971, 20972, 20974, 20969, 20976, 20976, 20969, '200 -> 208']
[20975, 20973, 20967, 20968, 20974, 20976, 20973, 20970, 20968, 20973, 20978, 20973, 20968, 20970, 20973, 20976, 20974, 20968, 20967, 20973, 20975, 20971, 20967, 20967, 20971, '208 -> 216']
[20966, 20970, 20978, 20975, 20970, 20967, 20968, 20976, 20975, 20968, 20966, 20968, 20975, 20976, 20968, 20967, 20970, 20975, 20978, 20970, 20966, 20972, 20976, 20976, 20972, '216 -> 224']
[20966, 20969, 20972, 20971, 20972, 20971, 20972, 20976, 20976, 20974, 20974, 20974, 20976, 20976, 20972, 20971, 20972, 20971, 20972, 20969, 20966, 20969, 20969, 20969, 20969, '224 -> 232']
[20972, 20975, 20974, 20966, 20975, 20973, 20967, 20971, 20966, 20967, 20974, 20967, 20966, 20971, 20967, 20973, 20975, 20966, 20974, 20975, 20972, 20980, 20971, 20971, 20980, '232 -> 240']
[20965, 20968, 20975, 20976, 20969, 20967, 20971, 20977, 20978, 20972, 20968, 20972, 20978, 20977, 20971, 20967, 20969, 20976, 20975, 20968, 20965, 20968, 20974, 20974, 20968, '240 -> 248']
[20982, 20974, 20966, 20968, 20972, 20978, 20973, 20964, 20965, 20972, 20976, 20972, 20965, 20964, 20973, 20978, 20972, 20968, 20966, 20974, 20982, 20973, 20969, 20969, 20973, '248 -> 256']
[20970, 20971, 20972, 20973, 20971, 20971, 20971, 20973, 20972, 20972, 20970, 20972, 20972, 20973, 20971, 20971, 20971, 20973, 20972, 20971, 20970, 20971, 20972, 20972, 20971, '256 -> 264']
[20973, 20972, 20970, 20971, 20972, 20973, 20972, 20970, 20970, 20972, 20972, 20972, 20970, 20970, 20972, 20973, 20972, 20971, 20970, 20972, 20973, 20972, 20971, 20971, 20972, '264 -> 272']
[20968, 20970, 20975, 20974, 20971, 20968, 20971, 20974, 20975, 20970, 20968, 20970, 20975, 20974, 20971, 20968, 20971, 20974, 20975, 20970, 20968, 20970, 20974, 20974, 20970, '272 -> 280']
[20976, 20973, 20968, 20968, 20973, 20976, 20973, 20968, 20968, 20972, 20976, 20972, 20968, 20968, 20973, 20976, 20973, 20968, 20968, 20973, 20976, 20973, 20968, 20968, 20973, '280 -> 288']
[20972, 20971, 20970, 20971, 20972, 20973, 20972, 20971, 20970, 20973, 20974, 20973, 20970, 20971, 20972, 20973, 20972, 20971, 20970, 20971, 20972, 20972, 20970, 20970, 20972, '288 -> 296']
[20969, 20971, 20973, 20973, 20972, 20970, 20970, 20972, 20972, 20971, 20970, 20971, 20972, 20972, 20970, 20970, 20972, 20973, 20973, 20971, 20969, 20972, 20974, 20974, 20972, '296 -> 304']
[20976, 20973, 20968, 20967, 20973, 20976, 20973, 20968, 20969, 20973, 20976, 20973, 20969, 20968, 20973, 20976, 20973, 20967, 20968, 20973, 20976, 20972, 20968, 20968, 20972, '304 -> 312']
[20967, 20970, 20976, 20976, 20969, 20966, 20970, 20976, 20976, 20969, 20966, 20969, 20976, 20976, 20970, 20966, 20969, 20976, 20976, 20970, 20967, 20970, 20976, 20976, 20970, '312 -> 320']
[20968, 20971, 20974, 20976, 20970, 20969, 20970, 20975, 20973, 20971, 20966, 20971, 20973, 20975, 20970, 20969, 20970, 20976, 20974, 20971, 20968, 20970, 20974, 20974, 20970, '320 -> 328']
[20977, 20973, 20967, 20970, 20972, 20976, 20974, 20967, 20968, 20974, 20974, 20974, 20968, 20967, 20974, 20976, 20972, 20970, 20967, 20973, 20977, 20971, 20968, 20968, 20971, '328 -> 336']
[20960, 20968, 20982, 20981, 20970, 20960, 20969, 20980, 20981, 20966, 20960, 20966, 20981, 20980, 20969, 20960, 20970, 20981, 20982, 20968, 20960, 20967, 20980, 20980, 20967, '336 -> 344']
[20985, 20976, 20961, 20960, 20977, 20986, 20976, 20960, 20960, 20975, 20986, 20975, 20960, 20960, 20976, 20986, 20977, 20960, 20961, 20976, 20985, 20976, 20959, 20959, 20976, '344 -> 352']
[20976, 20973, 20968, 20968, 20972, 20976, 20972, 20969, 20967, 20973, 20976, 20973, 20967, 20969, 20972, 20976, 20972, 20968, 20968, 20973, 20976, 20974, 20968, 20968, 20974, '352 -> 360']
[20965, 20970, 20977, 20974, 20970, 20967, 20968, 20978, 20976, 20969, 20968, 20969, 20976, 20978, 20968, 20967, 20970, 20974, 20977, 20970, 20965, 20971, 20975, 20975, 20971, '360 -> 368']
[20986, 20976, 20960, 20959, 20976, 20985, 20976, 20959, 20961, 20976, 20986, 20976, 20961, 20959, 20976, 20985, 20976, 20959, 20960, 20976, 20986, 20976, 20961, 20961, 20976, '368 -> 376']
[20954, 20966, 20985, 20986, 20966, 20953, 20967, 20985, 20986, 20967, 20954, 20967, 20986, 20985, 20967, 20953, 20966, 20986, 20985, 20966, 20954, 20966, 20986, 20986, 20966, '376 -> 384']
[20972, 20971, 20970, 20970, 20972, 20973, 20973, 20971, 20972, 20973, 20974, 20973, 20972, 20971, 20973, 20973, 20972, 20970, 20970, 20971, 20972, 20971, 20969, 20969, 20971, '384 -> 392']
[20971, 20972, 20973, 20973, 20971, 20969, 20971, 20972, 20972, 20970, 20968, 20970, 20972, 20972, 20971, 20969, 20971, 20973, 20973, 20972, 20971, 20972, 20974, 20974, 20972, '392 -> 400']
[20975, 20972, 20968, 20968, 20972, 20977, 20973, 20968, 20969, 20974, 20976, 20974, 20969, 20968, 20973, 20977, 20972, 20968, 20968, 20972, 20975, 20973, 20967, 20967, 20973, '400 -> 408']
[20967, 20970, 20976, 20976, 20970, 20966, 20969, 20976, 20975, 20969, 20966, 20969, 20975, 20976, 20969, 20966, 20970, 20976, 20976, 20970, 20967, 20970, 20977, 20977, 20970, '408 -> 416']
[20968, 20970, 20972, 20972, 20971, 20970, 20973, 20975, 20975, 20973, 20972, 20973, 20975, 20975, 20973, 20970, 20971, 20972, 20972, 20970, 20968, 20969, 20970, 20970, 20969, '416 -> 424']
[20975, 20975, 20971, 20969, 20972, 20972, 20972, 20969, 20968, 20970, 20970, 20970, 20968, 20969, 20972, 20972, 20972, 20969, 20971, 20975, 20975, 20975, 20971, 20971, 20975, '424 -> 432']
[20965, 20969, 20975, 20976, 20970, 20967, 20970, 20977, 20977, 20971, 20968, 20971, 20977, 20977, 20970, 20967, 20970, 20976, 20975, 20969, 20965, 20968, 20975, 20975, 20968, '432 -> 440']
[20980, 20973, 20967, 20967, 20973, 20979, 20972, 20965, 20965, 20972, 20978, 20972, 20965, 20965, 20972, 20979, 20973, 20967, 20967, 20973, 20980, 20974, 20968, 20968, 20974, '440 -> 448']
[20977, 20973, 20968, 20968, 20973, 20975, 20973, 20967, 20968, 20972, 20976, 20972, 20968, 20967, 20973, 20975, 20973, 20968, 20968, 20973, 20977, 20973, 20969, 20969, 20973, '448 -> 456']
[20967, 20969, 20975, 20977, 20969, 20966, 20971, 20975, 20977, 20971, 20966, 20971, 20977, 20975, 20971, 20966, 20969, 20977, 20975, 20969, 20967, 20968, 20976, 20976, 20968, '456 -> 464']
[20986, 20977, 20959, 20960, 20976, 20985, 20975, 20961, 20959, 20976, 20986, 20976, 20959, 20961, 20975, 20985, 20976, 20960, 20959, 20977, 20986, 20976, 20961, 20961, 20976, '464 -> 472']
[20953, 20966, 20986, 20985, 20966, 20954, 20966, 20986, 20986, 20967, 20954, 20967, 20986, 20986, 20966, 20954, 20966, 20985, 20986, 20966, 20953, 20967, 20985, 20985, 20967, '472 -> 480']
[20967, 20970, 20977, 20976, 20970, 20966, 20969, 20975, 20975, 20968, 20966, 20968, 20975, 20975, 20969, 20966, 20970, 20976, 20977, 20970, 20967, 20971, 20977, 20977, 20971, '480 -> 488']
[20977, 20972, 20967, 20965, 20974, 20980, 20972, 20968, 20967, 20973, 20982, 20973, 20967, 20968, 20972, 20980, 20974, 20965, 20967, 20972, 20977, 20973, 20965, 20965, 20973, '488 -> 496']
[20954, 20967, 20986, 20986, 20966, 20954, 20966, 20985, 20985, 20966, 20952, 20966, 20985, 20985, 20966, 20954, 20966, 20986, 20986, 20967, 20954, 20967, 20986, 20986, 20967, '496 -> 504']
[20992, 20979, 20953, 20954, 20979, 20992, 20980, 20954, 20954, 20980, 20992, 20980, 20954, 20954, 20980, 20992, 20979, 20954, 20953, 20979, 20992, 20978, 20953, 20953, 20978, '504 -> 512']
[20971, 20971, 20971, 20970, 20971, 20972, 20972, 20972, 20972, 20973, 20974, 20973, 20972, 20972, 20972, 20972, 20971, 20970, 20971, 20971, 20971, 20971, 20971, 20971, 20971, '512 -> 520']
[20971, 20972, 20973, 20971, 20971, 20971, 20970, 20972, 20971, 20970, 20972, 20970, 20971, 20972, 20970, 20971, 20971, 20971, 20973, 20972, 20971, 20973, 20973, 20973, 20973, '520 -> 528']
[20973, 20971, 20970, 20969, 20971, 20972, 20972, 20971, 20971, 20974, 20974, 20974, 20971, 20971, 20972, 20972, 20971, 20969, 20970, 20971, 20973, 20972, 20971, 20971, 20972, '528 -> 536']
[20970, 20972, 20972, 20973, 20970, 20969, 20971, 20972, 20973, 20971, 20970, 20971, 20973, 20972, 20971, 20969, 20970, 20973, 20972, 20972, 20970, 20972, 20974, 20974, 20972, '536 -> 544']
[20970, 20970, 20971, 20972, 20972, 20972, 20972, 20973, 20974, 20973, 20972, 20973, 20974, 20973, 20972, 20972, 20972, 20972, 20971, 20970, 20970, 20969, 20970, 20970, 20969, '544 -> 552']
[20975, 20972, 20971, 20973, 20971, 20972, 20971, 20969, 20970, 20970, 20970, 20970, 20970, 20969, 20971, 20972, 20971, 20973, 20971, 20972, 20975, 20972, 20973, 20973, 20972, '552 -> 560']
[20969, 20970, 20973, 20973, 20972, 20970, 20972, 20974, 20973, 20972, 20970, 20972, 20973, 20974, 20972, 20970, 20972, 20973, 20973, 20970, 20969, 20970, 20971, 20971, 20970, '560 -> 568']
